Run   obj.function   lambda        
53    -9.3024819999999997E-01  3.000000E+00  
54    -9.3024819999999997E-01  3.000000E+00  
55    -9.3024819999999997E-01  3.000000E+00  
56    -9.3024819999999997E-01  3.000000E+00  
57    -9.3024819999999997E-01  3.000000E+00  
58    -9.3024819999999997E-01  3.000000E+00  
59    -9.3024819999999997E-01  3.000000E+00  
60    -9.3024819999999997E-01  3.000000E+00  
61    -9.3024819999999997E-01  3.000000E+00  
62    -9.3024819999999997E-01  3.000000E+00  
63    -9.3024819999999997E-01  3.000000E+00  
64    -9.3024819999999997E-01  3.000000E+00  
65    -9.3024819999999997E-01  3.000000E+00  
66    -9.3024819999999997E-01  3.000000E+00  
67    -9.3024819999999997E-01  3.000000E+00  
68    -9.3024819999999997E-01  3.000000E+00  
69    -9.3024819999999997E-01  3.000000E+00  
70    -9.3024819999999997E-01  3.000000E+00  
71    -9.3024819999999997E-01  3.000000E+00  
72    -9.3024819999999997E-01  3.000000E+00  
73    -9.3024819999999997E-01  3.000000E+00  
74    -9.3024819999999997E-01  3.000000E+00  
75    -9.3024819999999997E-01  3.000000E+00  
76    -9.3024819999999997E-01  3.000000E+00  
77    -9.3024819999999997E-01  3.000000E+00  
78    -9.3024819999999997E-01  3.000000E+00  
79    -9.3024819999999997E-01  3.000000E+00  
80    -9.3024819999999997E-01  3.000000E+00  
81    -9.3024819999999997E-01  3.000000E+00  
82    -9.3024819999999997E-01  3.000000E+00  
83    -9.3024819999999997E-01  3.000000E+00  
84    -9.2977969999999999E-01  2.000000E+00  
85    -9.3024819999999997E-01  3.000000E+00  
86    -9.3009310000000001E-01  2.618034E+00  
87    -9.3019240000000003E-01  2.854102E+00  
88    -9.3022740000000004E-01  2.944272E+00  
89    -9.3024030000000002E-01  2.978714E+00  
90    -9.3024519999999999E-01  2.991869E+00  
91    -9.3024700000000005E-01  2.996894E+00  
92    -9.3024770000000001E-01  2.998814E+00  
93    -9.3024799999999996E-01  2.999547E+00  
94    -9.3024810000000002E-01  2.999827E+00  
95    -9.3024819999999997E-01  2.999934E+00  
96    -9.3024819999999997E-01  3.000000E+00  
97    -9.3024819999999997E-01  3.000000E+00  
98    -9.3024819999999997E-01  3.000000E+00  
99    -9.3024819999999997E-01  3.000000E+00  
100   -9.3024819999999997E-01  3.000000E+00  
101   -9.3024819999999997E-01  3.000000E+00  
102   -9.3024819999999997E-01  3.000000E+00  
103   -9.3024819999999997E-01  3.000000E+00  
104   -9.3024819999999997E-01  3.000000E+00  
105   -9.3024819999999997E-01  3.000000E+00  
106   -9.3024819999999997E-01  3.000000E+00  
107   -9.3024819999999997E-01  3.000000E+00  
108   -9.3024819999999997E-01  3.000000E+00  
109   -9.3024819999999997E-01  3.000000E+00  
110   -9.3024819999999997E-01  3.000000E+00  
111   -9.3024819999999997E-01  3.000000E+00  
112   -9.3024819999999997E-01  3.000000E+00  
113   -9.3024819999999997E-01  3.000000E+00  
114   -9.3024819999999997E-01  3.000000E+00  
115   -9.3024819999999997E-01  3.000000E+00  
116   -9.3024819999999997E-01  3.000000E+00  
117   -9.3024819999999997E-01  3.000000E+00  
118   -9.3024819999999997E-01  3.000000E+00  
119   -9.3024819999999997E-01  3.000000E+00  
120   -9.3024819999999997E-01  3.000000E+00  
121   -9.3024819999999997E-01  3.000000E+00  
122   -9.3024819999999997E-01  3.000000E+00  
123   -9.3024819999999997E-01  3.000000E+00  
124   -9.3024819999999997E-01  3.000000E+00  
125   -9.3024819999999997E-01  3.000000E+00  
126   -9.3024819999999997E-01  3.000000E+00  
127   -9.3024819999999997E-01  3.000000E+00  
128   -9.3024819999999997E-01  3.000000E+00  
